,종목명,종목코드
0,BNK금융지주,'138930
1,CJ,'001040
2,CJ제일제당,'097950
3,DB손해보험,'005830
4,DGB금융지주,'139130
5,DL,'000210
6,DN오토모티브,'007340
7,GS리테일,'007070
8,ISC,'095340
9,JB금융지주,'175330
10,JW중외제약,'001060
11,KB금융,'105560
12,KG ETS,'151860
13,KG모빌리언스,'046440
14,KG케미칼,'001390
15,LF,'093050
16,LG,'003550
17,LG생활건강,'051900
18,LG유플러스,'032640
19,LG이노텍,'011070
20,LG전자,'066570
21,LG헬로비전,'037560
22,LG화학,'051910
23,LS,'006260
24,LX세미콘,'108320
25,LX인터내셔널,'001120
26,NAVER,'035420
27,NH투자증권,'005940
28,NICE평가정보,'030190
29,NI스틸,'008260
30,POSCO홀딩스,'005490
31,S-Oil,'010950
32,SIMPAC,'009160
33,SK,'034730
34,SKC,'011790
35,SK가스,'018670
36,SK디스커버리,'006120
37,SK텔레콤,'017670
38,SK하이닉스,'000660
39,SPC삼립,'005610
40,가온미디어,'078890
41,경동나비엔,'009450
42,경인양행,'012610
43,고려산업,'002140
44,고려신용정보,'049720
45,고려아연,'010130
46,고영,'098460
47,골프존,'215000
48,국도화학,'007690
49,국순당,'043650
50,그래디언트,'035080
51,극동유화,'014530
52,금강철강,'053260
53,기아,'000270
54,기업은행,'024110
55,나노신소재,'121600
56,넥센타이어,'002350
57,노루페인트,'090350
58,녹십자,'006280
59,녹십자홀딩스,'005250
60,대동,'000490
61,대상,'001680
62,대상홀딩스,'084690
63,대웅제약,'069620
64,대정화금,'120240
65,대주산업,'003310
66,대창단조,'015230
67,대한유화,'006650
68,대한제강,'084010
69,대한제당,'001790
70,대한제분,'001130
71,더존비즈온,'012510
72,동국제약,'086450
73,동서,'026960
74,동아지질,'028100
75,동원산업,'006040
76,동원시스템즈,'014820
77,동진쎄미켐,'005290
78,동화약품,'000020
79,디씨엠,'024090
80,디와이파워,'210540
81,롯데정밀화학,'004000
82,롯데케미칼,'011170
83,리노공업,'058470
84,리드코프,'012700
85,매커스,'093520
86,메가스터디교육,'215200
87,미래에셋증권,'006800
88,백산,'035150
89,보령,'003850
90,사람인에이치알,'143240
91,삼성생명,'032830
92,삼성에스디에스,'018260
93,삼성전자,'005930
94,삼성증권,'016360
95,삼성출판사,'068290
96,삼성카드,'029780
97,삼양사,'145990
98,삼양식품,'003230
99,삼익THK,'004380
100,삼천리,'004690
101,상신이디피,'091580
102,상아프론테크,'089980
103,서연,'007860
104,서연이화,'200880
105,서울반도체,'046890
106,세방전지,'004490
107,세아베스틸지주,'001430
108,세운메디칼,'100700
109,송원산업,'004430
110,스틱인베스트먼트,'026890
111,신성델타테크,'065350
112,신세계,'004170
113,신세계인터내셔날,'031430
114,신한지주,'055550
115,심텍,'222800
116,쎄트렉아이,'099320
117,씨에스윈드,'112610
118,아세아시멘트,'183190
119,아이에스동서,'010780
120,아프리카TV,'067160
121,안랩,'053800
122,어보브반도체,'102120
123,에스에프에이,'056190
124,에스원,'012750
125,에스티아이,'039440
126,에스피지,'058610
127,에이티넘인베스트,'021080
128,에프에스티,'036810
129,엔씨소프트,'036570
130,영원무역,'111770
131,예스24,'053280
132,오뚜기,'007310
133,오리온홀딩스,'001800
134,오이솔루션,'138080
135,우리산업,'215360
136,우주일렉트로,'065680
137,유니드,'014830
138,유니셈,'036200
139,유니퀘스트,'077500
140,유진기업,'023410
141,유진테크,'084370
142,유한양행,'000100
143,이마트,'139480
144,이수화학,'005950
145,이엔에프테크놀로지,'102710
146,이오테크닉스,'039030
147,이지홀딩스,'035810
148,인바디,'041830
149,인탑스,'049070
150,인터로조,'119610
151,제이씨케미칼,'137950
152,제이에스코퍼레이션,'194370
153,제일기획,'030000
154,제일파마홀딩스,'002620
155,종근당,'185750
156,진성티이씨,'036890
157,카카오,'035720
158,코리안리,'003690
159,코엔텍,'029960
160,코오롱인더,'120110
161,코프라,'126600
162,콜마비앤에이치,'200130
163,키움증권,'039490
164,태경산업,'015890
165,태경케미컬,'006890
166,태광,'023160
167,테스,'095610
168,테크윙,'089030
169,티씨케이,'064760
170,파마리서치,'214450
171,파세코,'037070
172,파크시스템스,'140860
173,포스코스틸리온,'058430
174,포스코엠텍,'009520
175,포스코인터내셔널,'047050
176,포스코케미칼,'003670
177,풍산,'103140
178,프로텍,'053610
179,하나금융지주,'086790
180,하이비젼시스템,'126700
181,한국금융지주,'071050
182,한국알콜,'017890
183,한국콜마,'161890
184,한국타이어앤테크놀로지,'161390
185,한국토지신탁,'034830
186,한농화성,'011500
187,한미반도체,'042700
188,한섬,'020000
189,한세실업,'105630
190,한솔제지,'213500
191,한솔케미칼,'014680
192,한양이엔지,'045100
193,한전기술,'052690
194,한화,'000880
195,현대건설,'000720
196,현대그린푸드,'005440
197,현대글로비스,'086280
198,현대모비스,'012330
199,현대백화점,'069960
200,현대자동차,'005380
201,현대해상,'001450
202,화성산업,'002460
203,화신,'010690
204,황금에스티,'032560
205,휠라홀딩스,'081660
206,흥국에프엔비,'189980
